"StudentNumber","Practical4"
"10178968","95"
"10564021","75"
"10596546","55"
"10764201","95"
"10843911","100"
"11392372","100"
"11673891","100"
"12009405","75"
"12248737","80"
"12424318","100"
"12824445","95"
"13307706","75"
"13890687","95"
"13899884","95"
"13999844","100"
"14388750","80"
"15025227","95"
"15138599","65"
"15221466","100"
"16344699","35"
"16355565","65"
"16426178","40"
"16701580","75"
"16830633","85"
"17565059","40"
"17617371","80"
"17722986","70"
"17899150","75"
"17991569","85"
"18086203","85"
"18565081","70"
"18696816","10"
"18951663","100"
"19312374","75"
"19540193","95"
"19726156","60"
"19990795","95"
"20065713","95"
"21088459","95"
"21176483","85"
"21290640","100"
"21328145","100"
"21400518","60"
"21507858","65"
"21547152","85"
"21742487","90"
"22123740","100"
"22356863","100"
"22420142","100"
"22492651","100"
"22599569","100"
"22805605","60"
"23000344","75"
"23015418","85"
"23108186","70"
"23276962","90"
"23599160","100"
"23764014","100"
"23941170","55"
"23967059","100"
"24168928","95"
"24736593","95"
"24999772","80"
"25163806","90"
"25321978","95"
"26295258","100"
"26673989","70"
"27152389","85"
"27366028","85"
"27685967","65"
"28862150","100"
"28916461","100"
"28986250","95"
"29095306","90"
"29117832","85"
"29617803","85"
"29782816","100"
"29849088","100"
"29864492","80"
"29894454","75"
"30221681","95"
"30594428","65"
"30920086","95"
"30976316","50"
"31000436","90"
"31075768","95"
"31328161","70"
"31459483","100"
"32068259","80"
"32329170","100"
"32366478","85"
"32451226","60"
"32688667","100"
"33626752","95"
"34065113","85"
"34886114","85"
"34915027","75"
"34954347","40"
"35150654","100"
"35401951","100"
"36314266","100"
"36736552","100"
"36815131","100"
"37150196","80"
"37327283","65"
"37955807","55"
"38342432","80"
"38836182","85"
"38877353","100"
"38948413","100"
"39090810","100"
"39573901","70"
"39726932","100"
"39771831","65"
"39844488","95"
"40884016","100"
"41080759","95"
"41436183","65"
"41438695","65"
"42987947","40"
"42996991","95"
"43207437","55"
"43225046","100"
"43397647","85"
"43846091","100"
"43960503","95"
"44744544","100"
"45574566","65"
"45820349","95"
"46256418","95"
"47148635","100"
"47455314","100"
"47693155","50"
"48355378","80"
"48596456","100"
"48829543","100"
"48945756","60"
"48954286","75"
"49066285","95"
"49662844","100"
"50007559","100"
"50025245","95"
"50671873","85"
"51415024","100"
"52171434","95"
"52369025","100"
"52433044","95"
"52963178","35"
"53101399","100"
"53171408","100"
"53383733","95"
"53566596","85"
"53753898","100"
"54647841","100"
"54683076","100"
"55095423","85"
"55435592","100"
"55581053","100"
"55791486","95"
"56172530","30"
"56646593","100"
"56791994","80"
"56893941","100"
"57215885","100"
"57422530","95"
"57449908","55"
"57731201","90"
"58207516","100"
"58434695","100"
"58528969","100"
"58579568","85"
"58631979","65"
"58703573","90"
"59662378","100"
"59728002","20"
"59990109","95"
"60508179","100"
"60523502","100"
"60776421","45"
"62426215","100"
"62434434","100"
"62600346","90"
"63411264","85"
"63452943","100"
"63942634","75"
"64001000","95"
"65208549","100"
"65384033","100"
"65646602","85"
"65667669","100"
"66048607","70"
"66160486","100"
"66282827","100"
"66460343","100"
"66696560","100"
"67061600","60"
"67349657","95"
"67894672","100"
"68128926","95"
"68181291","50"
"68267788","100"
"68608890","85"
"68981393","95"
"69282329","30"
"69376934","90"
"69546283","95"
"69690175","75"
"70187130","100"
"70359294","75"
"70570593","95"
"70774878","100"
"71093765","95"
"71206066","95"
"71617128","90"
"72571938","100"
"73208349","100"
"73448067","100"
"74209811","45"
"74291476","95"
"74338048","100"
"74623770","65"
"74632560","100"
"74662504","100"
"75696299","100"
"75839157","100"
"75869675","100"
"76756301","70"
"76794427","100"
"77517084","100"
"77811559","100"
"77833198","100"
"78012725","65"
"78132168","100"
"79690644","100"
"80703167","95"
"80933403","95"
"81015662","85"
"81086007","90"
"81739814","100"
"81766101","85"
"82226747","100"
"82377508","85"
"82394498","100"
"82723853","95"
"82743825","100"
"82842221","100"
"83118474","65"
"83977821","80"
"84104581","95"
"84916321","100"
"85012583","95"
"85039594","40"
"85217823","100"
"85266094","35"
"85425693","100"
"85880100","95"
"85959173","100"
"86178563","95"
"86180945","45"
"86841997","100"
"88179634","100"
"88244418","70"
"88682418","100"
"89004170","90"
"89206889","80"
"89536703","95"
"89599066","60"
"89743548","100"
"89952128","80"
"90269097","100"
"90274573","50"
"90493662","100"
"90572588","95"
"90602476","95"
"90831045","100"
"90877089","80"
"91598409","85"
"91869792","65"
"92579637","100"
"92929712","100"
"93241892","100"
"93497296","100"
"93576230","95"
"93787580","85"
"93987884","45"
"94284417","100"
"94416760","55"
"94858711","45"
"94899529","90"
"94962748","100"
"94997278","85"
"95265127","100"
"95338916","85"
"95580419","95"
"96033370","80"
"96404394","85"
"96512094","90"
"96568506","25"
"96753294","85"
"96949002","35"
"97027796","100"
"97157152","70"
"97369038","100"
"97429657","100"
"97666200","100"
"97815191","95"
"97874746","60"
"98466505","95"
"98564338","100"
"99687482","80"
"99861384","100"
